	Sub0960_1_f	Sub0921_2_n	Sub0932_2_f	Sub0930_1_f	Sub0954_1_n	Sub0885_1_f	Sub0965_1_c	Sub0950_1_c	Sub0963_2_c	Sub0877_2_n	Sub0950_2_c	Sub0877_2_f	Sub0885_1_c	Sub0965_1_f	Sub0916_2_c	Sub0877_2_c	Sub0968_2_c	Sub0914_1_n	Sub0959_2_n	Sub0942_2_f	Sub0883_1_n	Sub0932_2_n	Sub0983_1_f	Sub0928_1_c	Sub0956_1_n	Sub0959_1_n	Sub0898_2_f	Sub0931_2_f	Sub0962_1_c	Sub0959_2_f	Sub0935_2_f	Sub0956_2_n	Sub0937_2_f	Sub0869_2_c	Sub0914_2_n	Sub0939_1_c	Sub0942_2_n	Sub0898_1_f	Sub0931_2_c	Sub0920_2_c	Sub0916_1_c	Sub0965_2_f	Sub0928_2_n	Sub0960_1_c	Sub0982_1_f	Sub0999_2_c	Sub0920_1_c	Sub0911_2_f	Sub0938_2_f	Sub0930_2_f	Sub0938_2_n	Sub0960_2_f	Sub0962_2_c	Sub0965_2_c	Sub0898_2_n	Sub0884_1_f	Sub0921_1_f	Sub0903_1_n	Sub0974_1_f	Sub0877_1_f	Sub0965_2_n	Sub0935_1_f	Sub0946_1_c	Sub0946_2_c	Sub0969_2_n	Sub0901_2_f	Sub0983_2_f	Sub0928_2_c	Sub0877_1_n	Sub0939_2_f	Sub0932_1_f	Sub0892_1_c	Sub0919_2_f	Sub0926_1_n	Sub0899_1_n	Sub0942_1_n	Sub0901_2_n	Sub0982_2_f	Sub0885_2_f	Sub0897_2_c	Sub0939_2_c	Sub0931_2_n	Sub0932_1_n	Sub0864_2_c	Sub0966_1_f	Sub0911_2_n	Sub0911_1_n	Sub0903_2_n	Sub0963_1_c	Sub0878_2_c	Sub0968_1_c	Sub0954_2_n	Sub0937_1_n	Sub0899_2_n	Sub0877_1_c	Sub0921_1_c	Sub0971_2_n	Sub0923_2_f	Sub0960_2_c	Sub0901_1_n	Sub0921_1_n	Sub0951_2_f	Sub0930_1_c	Sub0944_2_n	Sub0955_1_n	Sub0931_1_n	Sub0884_2_f	Sub0971_2_f	Sub0994_1_c	Sub0969_2_f	Sub0970_1_n	Sub0892_2_c	Sub0897_2_f	Sub0956_2_f	Sub0956_1_f	Sub0977_1_c	Sub0931_1_c	Sub0938_1_n	Sub0977_2_c	Sub0923_1_f	Sub0937_2_n	Sub0942_1_f	Sub0969_1_f	Sub0951_1_f	Sub0953_1_f	Sub0968_2_n	Sub0959_1_f	Sub0952_1_n	Sub0938_1_f	Sub0911_1_f	Sub0931_1_f	Sub0995_1_c	Sub0939_1_f	Sub0927_2_f	Sub0944_2_f	Sub0894_2_f	Sub0989_1_c	Sub0905_2_n	Sub0955_2_n	Sub0983_1_n	Sub0906_1_c	Sub0928_1_n	Sub0908_2_f	Sub0930_2_n	Sub0936_2_f	Sub0996_1_c	Sub0919_2_c	Sub0974_2_c	Sub0953_2_f	Sub0919_1_f	Sub0898_1_n	Sub0968_1_n	Sub0878_1_c	Sub0927_1_f	Sub0964_2_f	Sub0944_1_f	Sub0901_1_f	Sub0930_2_c	Sub0965_1_n	Sub0929_2_c	Sub0912_2_f	Sub0939_2_n	Sub0970_2_n	Sub0974_2_f	Sub0936_1_f	Sub0894_1_f	Sub0971_1_n	Sub0944_1_n	Sub0945_2_n	Sub0908_1_f	Sub0971_1_f	Sub0943_2_f	Sub0912_1_f	Sub0966_2_f	Sub0975_2_f	Sub0928_2_f	Sub0969_1_n	Sub0995_2_c	Sub0872_2_n	Sub0930_1_n	Sub0937_1_f	Sub0924_1_f	Sub0983_2_n	Sub0928_1_f	Sub0924_2_f	Sub0907_1_n	Sub0906_1_n	Sub0883_2_n	Sub0981_2_f	Sub0883_1_f	Sub0897_1_c	Sub0871_2_f	Sub0907_2_n	Sub0988_1_f	Sub0912_2_n	Sub0926_2_n	Sub0921_2_c	Sub0871_1_n	Sub0999_1_c	Sub0869_1_c	Sub0988_2_f	Sub0989_2_c	Sub0939_1_n	Sub0871_1_f	Sub0906_1_f	Sub0978_2_n	Sub0975_1_f	Sub0994_2_c	Sub0936_1_n	Sub0949_1_f	Sub0949_2_f	Sub0908_2_c	Sub0974_1_c	Sub0886_2_n	Sub0978_1_n	Sub0919_1_c	Sub0929_1_c	Sub0955_1_f	Sub0952_2_n	Sub0912_1_n	Sub0981_2_n	Sub0906_2_c	Sub0897_1_f	Sub0871_2_n	Sub0964_1_f	Sub0872_1_n	Sub0896_1_f	Sub0943_1_f	Sub0981_1_f	Sub0883_1_c	Sub0974_1_n	Sub0883_2_c	Sub0955_2_f	Sub0906_2_f	Sub0996_2_c	Sub0981_1_n	Sub0896_2_f	Sub0908_1_c	Sub0945_1_n	Sub0886_2_f	Sub0905_1_n	Sub0883_2_f	Sub0886_1_f	Sub0936_2_n	Sub0886_1_n	Sub0906_2_n
CAG0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.61983e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.18479e-06	0	0	0	0	0	0	0	2.54505e-05	0	0	0	0	0	0	0	0	0	4.93003e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33888e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.405e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02106e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85301e-07	0	0	0	0	0	0	5.28702e-07	0	0	0	1.50666e-06	0	0	0	0	0	0	0	0	0	1.39581e-07	0	0	0	0	0	0	1.08398e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07295e-07	0	0	0	0	0	0	0	0	0	1.13681e-07	0	0	0	0
CAG0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.83146e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.43203e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95052e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59437e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25158e-07	0	7.49688e-07	0	0	0	0	0	0	0	0	0	0	1.02901e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37699e-07	0	7.88431e-07	0	0	0	0	0	1.49615e-07	0	0	0	0	0	0	2.02094e-07	0	0	0	0	0	0	0	0	0	0
CAG0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24112e-06	0	0	0	0	5.60958e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.86946e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00224e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.76511e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36524e-07	0	0	0	0	0	0	1.30117e-07	0	0	0	0	0	0	0	0	0	8.24046e-06	0	0	0	0	0	0	0	0	0	4.53518e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25262e-08	0	0	0	0	0	0	4.49636e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79634e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16797e-07	0	2.55337e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.51001e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.02585e-06	0	3.45492e-07	0	0	0	0	0	0	0	0	0	1.70521e-07	0	0	0	0
CAG0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19783e-06	0	0	0	0	0	0	0	0	0	0	0	5.24359e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.46168e-06	0	0	0	0	0	0	0	0	0	0	1.233e-06	1.23091e-06	0	0	0	0	0	0	6.34398e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53933e-06	0	0	0	0	0	8.89149e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52613e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81095e-07	0	0	7.20481e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76601e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73107e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80964e-05	8.89149e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57686e-07	0	0	0	0	1.21063e-06	2.4393e-07	0	0	0	0	0	0	0	0	0	0	0	2.8558e-07	4.19887e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59526e-07	0	0	0	0	0	6.4726e-07	1.17153e-06	0	0	0	0	0	0	7.03568e-08	0	0	0	0	0	0	1.32176e-07	0	0	0	1.30117e-07	0	0	0	0	0	1.21682e-07	0	0	0	2.94889e-08	0	0	2.78804e-08	0	0	0	0	1.08386e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21671e-07	0	0	0	0	0	0	2.44521e-07	0	5.64617e-07	0	1.60042e-07	0	0	0	0	0	9.09928e-07	0	7.48077e-08	0	0	0	0	0	6.77386e-08	1.34729e-07	7.56135e-08	0	0	0	0	0	0	0	0	0
CAG0017	0	0	0	1.19099e-05	0	0	0	0	0	0	0	0	0	0	3.18479e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.38433e-06	0	0	0	0	0	0	0	0	3.18529e-05	0	0	2.8045e-05	0	0	1.9404e-06	0	3.33125e-06	0	9.35058e-07	0	9.91204e-06	0	0	7.80537e-06	0	0	0	0	3.94616e-07	0	0	0	0	0	0	0	0	0	0	0	3.60132e-07	0	1.43196e-06	0	0	0	0	0	0	0	0	9.66718e-07	0	0	0	1.40324e-06	0	9.04874e-07	0	2.99811e-07	0	0	0	0	0	0	0	0	1.4024e-06	0	0	0	0	1.34896e-05	0	0	0	0	0	1.9066e-06	0	2.54927e-07	7.54355e-07	0	0	0	1.02115e-05	0	1.02607e-06	0	9.14925e-07	0	0	0	0	0	0	0	0	4.19598e-07	1.2266e-06	0	5.51084e-06	0	0	5.0028e-08	0	2.34654e-05	0	0	0	0	0	0	5.0633e-06	0	0	0	0	6.61244e-06	0	2.79003e-05	0	0	1.56058e-07	1.89549e-06	1.01623e-06	0	1.24572e-05	0	0	0	3.15576e-06	0	0	0	0	0	6.60012e-08	0	0	0	0	3.81193e-07	7.57171e-07	0	0	0	0	0	4.12797e-06	1.17956e-07	0	0	0	0	0	0	0	0	1.07252e-07	0	0	0	1.30653e-05	0	0	0	0	0	1.95865e-07	0	3.9505e-05	0	0	0	0	0	1.78207e-07	0	0	0	0	0	0	0	0	0	0	4.03298e-08	4.03253e-07	0	7.9365e-08	0	0	0	5.38104e-07	0	7.48162e-08	0	0	0	0	0	6.77826e-08	0	0	0	0	0	0	0	0	0	0	0	4.83927e-08
CAG0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57686e-07	0	0	0	0	2.45461e-07	1.21965e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53022e-07	0	0	0	0	0	3.90145e-08	0	1.50807e-07	0	0	0	0	0	0	0	1.36524e-07	0	0	0	0	0	0	0	0	0	0	8.5772e-07	0	0	0	0	0	0	0	0	1.73903e-07	0	0	0	2.16797e-07	0	2.14504e-07	0	0	0	0	0	0	0	3.3404e-08	0	0	0	0	0	0	0	0	1.81655e-07	8.91033e-08	0	0	0	0	1.18864e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49105e-07	7.2689e-08	1.38197e-07	0	0	0	0	0	0	0	0	0	5.68403e-08	0	0	0	0
CAG0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.99811e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59437e-07	1.56058e-07	0	0	0	0	0	0	0	0	0	1.36524e-07	0	0	0	0	0	0	0	0	0	0	1.83797e-06	0	0	0	0	0	0	9.1827e-07	0	2.23043e-07	9.90838e-07	0	0	0	0	0	0	6.58345e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72482e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6756e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAG0020	0	0	0	0	0	0	0	0	0	0	6.50368e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19322e-07	1.18375e-06	0	0	1.02069e-06	0	0	0	0	0	0	0	0	1.88196e-05	0	2.38565e-06	0	0	0	0	0	0	4.70361e-07	1.37e-07	0	0	0	4.06067e-07	0	2.98593e-06	0	0	1.15527e-06	5.38986e-06	1.48596e-05	0	0	0	7.85984e-05	0	0	0	0	1.21278e-06	0	0	0	0	0	1.67386e-07	0	0	0	0	0	0	0	0	0	0	1.4836e-06	0	0	1.60907e-06	0	0	2.85303e-07	0	0	5.59748e-07	0	1.37808e-07	0	0	0	0	0	0	2.58483e-07	0	0	0	0	0	0	0	0	7.99794e-08	0	0	0	0	0	0	0	0	0	2.14185e-07	0	0	0	2.61041e-07	0	0	1.05686e-05	2.00112e-06	0	5.45547e-07	1.95677e-07	1.94424e-07	0	0	1.85569e-07	0	0	0	2.89688e-06	1.19204e-06	1.41755e-06	0	6.54572e-06	0	0	0	8.08364e-06	0	1.35726e-06	0	0	0	4.22141e-07	0	0	0	1.09465e-06	0	1.33092e-07	1.32176e-07	2.64005e-07	0	0	2.60234e-07	0	1.27064e-07	0	1.33201e-05	0.000131973	0	0	0	0	4.81033e-06	0	0	1.5335e-06	1.49647e-07	0	0	5.41991e-08	0	2.14504e-08	1.19233e-05	1.06983e-07	0	0	0	0	1.00575e-06	0	0	1.95865e-07	0	1.17461e-06	0	0	0	0	1.10486e-05	0	0	7.52407e-07	1.3276e-06	0	2.20717e-06	0	0	4.82185e-05	0	0	0	8.06506e-08	0	7.51534e-07	2.38168e-05	7.85911e-08	0	0	0	0	3.69342e-07	0	1.28884e-06	1.38197e-07	5.34062e-07	4.06695e-07	2.82342e-05	2.02094e-07	0	0	8.38687e-07	0	0	5.68403e-08	0	0	0	2.05839e-07
CAG0021	0	0	0	0	0	0	2.54871e-06	2.04988e-06	6.7164e-07	0	5.20295e-06	0	2.60487e-05	0	1.20231e-06	1.79571e-06	0	0	0	0	0	0	0	2.24874e-06	0	0	0	0	1.13585e-05	5.19322e-07	0	0	0	0	0	4.21737e-06	0	0	4.99375e-07	9.94017e-07	1.48849e-06	0	0	6.64782e-06	0	2.12193e-06	1.42304e-06	0	0	0	0	0	2.877e-06	1.23091e-06	0	0	0	0	0	0	0	0	2.54556e-05	4.22541e-06	0	0	0	1.09418e-06	0	0	0	5.72786e-06	0	3.50402e-07	0	0	0	0	0	0	9.66718e-07	0	6.3677e-07	3.12789e-07	3.10377e-07	6.13361e-07	0	0	3.31407e-06	1.7535e-06	1.13721e-05	0	5.86137e-07	0	5.8127e-07	3.16995e-06	0	0	2.19407e-06	0	0	0	5.49504e-06	0	0	0	0	0	1.03074e-06	0	2.54927e-07	2.51452e-07	0	0	0	1.02946e-05	5.60541e-07	0	2.53101e-06	0	0	0	0	0	0	0	0	0	0	2.03447e-07	0	1.81896e-06	0	0	0	0	2.85958e-05	0	0	0	3.65014e-06	6.18563e-08	0	0	0	7.69842e-06	3.09818e-06	3.53022e-07	0	0	0	0	2.86986e-06	0	0	4.52421e-07	0	1.87899e-06	0	1.40714e-07	0	0	2.76797e-07	0	1.33129e-07	0	0	0	0	0	0	0	1.27064e-07	0	0	0	0	1.03155e-06	0	0	0	3.44351e-07	5.70684e-08	0	0	0	0	0	0	2.14504e-07	6.4259e-07	0	0	0	0	1.00764e-07	2.51437e-06	1.00212e-07	2.30025e-05	1.95865e-07	0	3.80068e-07	1.87561e-07	4.66045e-08	0	0	1.81655e-07	1.06924e-06	1.77124e-07	0	0	1.52406e-06	6.02243e-06	0	0	1.00752e-05	5.46225e-06	0	0	1.61301e-07	0	2.38095e-07	0	7.85911e-08	1.5532e-07	0	0	0	0	6.70974e-07	0	3.52249e-06	0	0	3.62928e-07	0	0	1.97771e-06	0	0	1.16828e-07	0	0	5.29473e-08	0	0
CAG0022	0	0	0	0	0	0	0	0	0	0	6.50368e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77129e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89545e-07	0	0	0	0	0	0	0	0	3.64726e-07	0	0	0	0	1.30469e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66322e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09799e-07	0	0	0	0	1.00181e-06	1.40078e-06	0	0	0	0	0	0	9.27844e-08	0	0	0	0	1.49253e-05	2.29465e-06	0	3.97828e-06	1.64858e-07	0	0	1.06347e-06	0	0	0	0	0	0	0	0	0	1.22872e-06	0	0	1.32176e-07	0	0	0	1.30117e-07	0	0	0	8.37759e-06	3.67257e-07	0	0	1.20527e-07	0	0	0	0	2.23043e-07	0	0	0	5.41991e-08	0	2.14504e-07	0	1.70727e-06	0	0	0	0	0	1.00212e-07	0	0	0	0	0	9.3209e-08	0	0	1.08993e-06	0	0	0	0	0	3.404e-07	0	0	1.38148e-05	0	0	0	0	0	0	0	1.71018e-06	0	0	0	0	0	0	3.63445e-07	2.07295e-07	0	0	0	0	6.66363e-08	0	0	0	0	8.52604e-08	0	0	0	0
CAG0023	4.66724e-05	2.04179e-05	0	0	0	0	0	0	0	0	0	3.17344e-07	0	0	0	5.98568e-06	0	0	0	2.81204e-06	0	0	0	0	0	5.46691e-07	5.28164e-07	0	0	2.55818e-06	5.17119e-07	0	0	0	0	0	0	2.01199e-06	0	0	0	0	0	0	1.75112e-06	0	0	4.67529e-07	0	0	0	4.19559e-07	0	0	0	0	2.13443e-06	0	0	0	0	0	3.8499e-07	0	0	7.48074e-07	0	0	0	0	0	0	3.56071e-07	0	0	0	0	0	0	3.26849e-07	0	1.06826e-07	0	0	0	3.06681e-07	0	0	0	1.4836e-06	0	0	0	0	0	0	0	0	0	4.19124e-06	0	0	0	0	0	0	0	0	0	0	0	0	6.73338e-06	0	0	0	0	0	3.91156e-06	0	1.8961e-07	0	0	0	0	0	4.2837e-07	0	0	6.10342e-07	0	2.02106e-07	2.00866e-07	2.80508e-06	2.00112e-06	0	1.44029e-07	9.78383e-08	0	0	0	9.27844e-08	0	0	0	0	1.77682e-06	0	0	8.35144e-08	1.05353e-06	0	0	0	0	1.50807e-07	0	0	0	0	3.33686e-07	0	0	3.75588e-07	0	1.87772e-07	0	0	3.94231e-07	4.38204e-08	0	6.28194e-06	1.27064e-07	0	3.67594e-07	1.22419e-07	0	0	2.41053e-07	1.48884e-07	1.17956e-07	0	0	5.57607e-07	2.20186e-07	0	0	2.16797e-07	0	0	0	0	0	0	9.97288e-08	0	6.05664e-06	0	8.30045e-06	0	0	0	1.87561e-07	0	0	0	0	0	0	0	0	0	4.255e-08	2.79935e-08	0	2.47579e-07	0	0	0	1.61301e-07	0	0	0	0	0	0	0	1.49632e-07	0	2.98211e-07	0	2.07295e-07	0	0	6.77386e-08	0	0	0	0	0	4.31419e-07	0	0	0	8.76401e-08	0
CAG0024	4.42109e-05	0.000171212	2.99438e-05	4.11939e-05	3.94276e-05	6.24338e-06	4.74577e-05	5.01403e-06	2.8553e-05	3.5805e-05	1.07623e-05	2.55154e-05	8.59321e-06	2.74319e-05	1.3339e-05	3.42032e-05	5.10762e-05	5.37629e-05	4.00558e-05	8.654e-05	0.00010083	9.76417e-05	5.59187e-05	8.99497e-06	1.24725e-05	3.52165e-05	9.17337e-05	3.47691e-05	4.42553e-05	6.79236e-05	2.46058e-05	1.93279e-05	3.19399e-05	0.000127204	2.49103e-05	6.22092e-05	0.000138175	7.27992e-05	4.2421e-05	7.59907e-05	9.92326e-06	7.33575e-05	6.88174e-05	3.63795e-05	2.25017e-05	0.000103064	0.000101874	7.52698e-05	4.94136e-05	6.09927e-05	7.7634e-05	3.59269e-05	5.62617e-05	3.12027e-05	0.000129142	0.000107053	0.000104978	0.000113637	2.19366e-05	0.000104496	9.40216e-05	2.3859e-05	1.28662e-05	1.36961e-05	0.000108651	0.000108729	3.3675e-05	1.07517e-05	0.000153477	0.00012569	0.000122906	0.000116545	4.41916e-05	0.000140356	0.000108543	0.000169482	0.000100811	1.09764e-05	2.284e-05	7.63984e-05	7.09616e-05	0.000102397	0.000185386	0.000185965	8.04452e-05	4.51917e-05	0.000120965	6.96594e-05	5.32564e-05	6.89253e-05	3.71814e-05	7.18371e-05	9.41298e-05	6.79226e-05	0.000166261	0.00016827	0.000103417	6.49593e-05	3.81198e-05	9.84353e-05	0.000171351	0.000169378	0.000122884	0.000158877	0.000180723	7.92765e-05	0.000206965	8.03426e-05	0.000100791	6.80559e-05	0.000141157	0.000142846	5.94043e-05	1.10814e-05	7.18888e-06	0.000111201	8.92259e-05	5.86196e-05	0.000156582	7.37093e-05	0.000130618	0.00019885	0.000102335	4.17452e-05	1.98531e-05	0.000165455	0.000158493	0.00018185	0.000114962	0.000112631	6.45196e-05	9.31432e-05	0.000167036	1.80326e-06	4.72224e-05	0.000224112	3.93132e-05	0.000219572	0.000213566	0.000199472	0.0001815	0.000158273	0.000242636	0.00013203	0.000128982	0.000114776	5.26371e-05	2.52017e-05	0.000186761	0.000177739	0.000173361	0.000104231	0.000154942	7.73925e-06	0.000168236	0.000119567	0.000174283	0.000145373	0.000122589	2.92194e-05	0.000232341	0.000149585	0.000197711	3.13232e-05	0.000189964	0.000208393	6.82836e-05	0.000248576	0.000181974	0.000261579	5.06668e-05	0.000213242	0.000228809	1.00956e-06	2.47044e-05	1.19629e-05	0.000193035	0.000168738	0.000228018	0.000149397	8.78709e-05	0.000205422	0.000224891	0.000109831	0.000205011	0.000197446	0.00018	0.000163062	0.000194	3.96779e-05	2.61839e-05	0.000151743	0.000220365	0.000190149	0.000245269	0.000181313	0.000209127	0.000215289	0.000162261	0.000201893	0.000222643	6.52957e-05	0.000192691	0.000245901	0.000199527	0.000216852	0.000103493	0.000195394	0.000223221	0.000180534	0.000208713	0.000271469	2.55548e-05	0.000256971	0.000259434	2.91307e-05	0.000204752	0.000168269	0.000255008	0.000234264	0.000201895	0.000256104	1.13909e-05	0.000177834	0.000233899	0.00025636	0.000185796	0.000250677	0.00015175	9.72234e-06	0.000187944	0.000122683	0.000257576	0.000263459	0.000147952	0.000175651	0.00018943	0.000268614	0.000232271	0.000277292	0.000279001	0.000165828	0.00026551	0.00022255	0.000276569	0.00026138
CAG0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77129e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85089e-07	0	0	0	0	0	0	0	0	0	0	1.78035e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00112e-07	0	0	1.95677e-07	0	0	0	0	0	0	0	0	1.77682e-07	1.76511e-07	0	0	0	0	0	3.12116e-07	0	3.01614e-07	0	0	0	0	0	0	0	1.36524e-07	0	0	0	0	0	0	0	0	0	0	0	2.44838e-07	0	0	0	0	0	0	0	1.00369e-06	0	0	0	3.25195e-07	0	1.07252e-07	0	0	0	0	0	5.03818e-08	0	1.00212e-07	0	0	0	0	0	1.11655e-07	0	0	0	0	0	0	0	0	1.702e-07	0	0	8.25262e-08	9.53434e-06	0	0	0	0	0	0	0	0	0	0	0	0	7.45527e-08	1.45378e-07	6.21885e-07	0	0	0	0	0	0	0	0	0	2.84201e-07	0	0	0	0
