feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Caulobacterales.f__Caulobacteraceae.g__Brevundimonas.s__Brevundimonas_vesicularis	UVspot	UVspot	0.943358982817805	0.319935480580566	246	63	0.00351652451801066	0.0635679432101928
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	Grease	Grease	-0.606955011809071	0.209967479177727	246	79	0.00420694542978928	0.0690330587264051
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus.s__Staphylococcus_epidermidis	Pore	Pore	0.713818643406281	0.247014581798541	246	239	0.00425948660226755	0.0690330587264051
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales.f__Veillonellaceae.g__Veillonella.s__Veillonella_parvula	Lightening	Lightening	-0.820155299975417	0.282378263931303	246	72	0.00405224117472368	0.0690330587264051
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	Pore	Pore	0.739318827802312	0.25955798567066	246	246	0.00480914262208925	0.0753432344127316
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Corynebacteriaceae.g__Corynebacterium.s__Corynebacterium_matruchotii	UVspot	UVspot	1.05331914001737	0.380145865524299	246	70	0.00604540910550594	0.0908356670536845
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales.f__Propionibacteriaceae.g__Cutibacterium.s__Cutibacterium_acnes	Melanin	Melanin	-0.134240007217248	0.0487720602751268	246	246	0.00637782343142891	0.0908356670536845
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Herpesvirales.f__Herpesviridae.g__Roseolovirus.s__Human_betaherpesvirus_7	Texture	Texture	0.564318043527231	0.204909258259903	246	50	0.00636224713034411	0.0908356670536845
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Lautropia.s__Lautropia_mirabilis	Grease	Grease	-0.698514559574887	0.254690696979786	246	53	0.006571468817629	0.0908408924789891
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.s__Prevotella_melaninogenica	Grease	Grease	-0.709247177017145	0.261678244052818	246	62	0.00722496333150003	0.0943259101612504
k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Ortervirales.f__Retroviridae.g__Retroviridae_unclassified.s__Human_endogenous_retrovirus_K	Lightening	Lightening	0.573129932282251	0.211351041281565	246	246	0.00719476451135213	0.0943259101612504
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus.s__Paracoccus_sphaerophysae	Wrinkle	Wrinkle	-0.885165292234738	0.328286242577589	246	76	0.00752638221892927	0.0956053957539665
