species	1	2	3	4	5	mean	rank	sd
Pore	34.1809250198043	29.5544980167888	31.7125843658111	26.3575385386636	29.5020563308151	30.2615204543766	1	2.90624585604035
UVspot	26.1166230900135	27.2843797201404	23.6710213497131	23.1525610615375	26.9530361022393	25.4355242647288	2	1.90462567227908
Spot	21.5305027272892	32.9624172377478	19.9892673872007	21.976016935929	28.5873808720038	25.0091170320341	3	5.53530262048841
Texture	12.5229549722372	11.9614895666777	11.279366994656	11.2174266155691	15.4779238119502	12.491832392218	4	1.7530798982383
Wrinkle	10.722829912633	16.2319550066371	7.83533182434964	13.810731555859	7.58042025058815	11.2362537100134	5	3.76762390556016
Lightening	13.2350853174708	11.3459734592459	12.3910346874606	10.8200479751766	8.34043556048826	11.2265153999684	6	1.86409502974189
Grease	9.07610082182534	10.6210482062106	5.76741983989359	11.82080102084	12.4392286584716	9.94491970944824	7	2.66477058071425
Poryphyrins	6.9289123938992	8.33036201702519	8.16628037339646	7.93122443639283	6.58340738216705	7.58803732057615	8	0.78213096116802
Melanin	5.72194650794758	5.86123928997531	7.53984702297968	8.12392506056686	5.86396568709559	6.622184713713	9	1.12491011202775
Hemoglobin	2.39923154963702	3.68144929015232	3.46828510743742	3.00470073366227	2.45879819221828	3.00249297462146	10	0.57824675245071
