K09167	CAG0001 CAG0002 CAG0003 CAG0013 CAG0014 CAG0017 CAG0027 CAG0035 CAG0045 CAG0051 CAG0053 CAG0066 CAG0079 CAG0085 
K06282	CAG0001 CAG0002 CAG0023 CAG0062 CAG0089 
K11071	CAG0001 CAG0002 CAG0003 CAG0011 CAG0012 CAG0013 CAG0015 CAG0017 CAG0018 CAG0021 CAG0022 CAG0023 CAG0025 CAG0028 CAG0029 CAG0030 CAG0032 CAG0038 CAG0040 CAG0044 CAG0062 CAG0070 CAG0078 CAG0081 CAG0097 
K03303	CAG0001 CAG0002 CAG0003 CAG0004 CAG0006 CAG0007 CAG0009 CAG0013 CAG0014 CAG0016 CAG0018 CAG0021 CAG0022 CAG0023 CAG0025 CAG0027 CAG0028 CAG0030 CAG0032 CAG0033 CAG0035 CAG0037 CAG0038 CAG0045 CAG0050 CAG0051 CAG0053 CAG0057 CAG0061 CAG0062 CAG0071 CAG0072 CAG0078 CAG0079 CAG0080 CAG0085 CAG0086 CAG0095 CAG0101 
K22042	CAG0001 CAG0002 CAG0005 CAG0007 CAG0009 CAG0015 CAG0023 CAG0025 CAG0028 CAG0029 CAG0032 CAG0033 CAG0040 CAG0066 CAG0068 
K13653	CAG0001 CAG0006 CAG0010 CAG0052 CAG0107 
K03521	CAG0001 CAG0003 CAG0004 CAG0005 CAG0006 CAG0008 CAG0009 CAG0010 CAG0011 CAG0012 CAG0013 CAG0016 CAG0019 CAG0020 CAG0023 CAG0024 CAG0027 CAG0029 CAG0030 CAG0035 CAG0036 CAG0045 CAG0048 CAG0050 CAG0055 CAG0057 CAG0058 CAG0061 CAG0063 CAG0064 CAG0065 CAG0068 CAG0072 CAG0073 CAG0097 
K15771	CAG0001 CAG0003 CAG0004 CAG0013 CAG0024 CAG0025 CAG0027 CAG0038 CAG0051 CAG0073 CAG0074 CAG0079 CAG0080 CAG0086 CAG0095 CAG0102 
K18434	CAG0001 CAG0005 CAG0009 CAG0012 CAG0022 CAG0034 CAG0039 CAG0063 
K06978	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0006 CAG0007 CAG0011 CAG0012 CAG0017 CAG0019 CAG0020 CAG0021 CAG0027 CAG0036 CAG0040 CAG0048 CAG0053 CAG0065 
