,age,predict_age
0,18,17.494001388549805
1,24,20.64229965209961
2,21,18.87802505493164
3,24,27.076894760131836
4,20,23.52436065673828
5,21,20.026927947998047
6,19,19.320175170898438
7,23,19.708290100097656
8,24,19.534961700439453
9,28,22.932571411132812
10,37,26.017589569091797
11,24,25.241214752197266
12,24,20.53894805908203
13,23,23.41374969482422
14,27,18.771839141845703
15,32,25.386119842529297
16,30,21.944931030273438
17,23,17.049440383911133
18,31,24.522855758666992
19,22,17.382694244384766
20,26,23.746429443359375
21,25,20.006431579589844
22,24,21.28006935119629
23,69,42.31006622314453
24,73,63.28430938720703
25,24,20.635517120361328
26,25,19.217666625976562
27,42,29.047767639160156
28,43,37.119483947753906
29,21,20.178192138671875
30,24,17.46795082092285
31,57,53.67805099487305
32,44,19.732986450195312
33,55,46.82447814941406
34,32,20.96117401123047
35,31,19.84710693359375
36,33,24.363067626953125
37,28,23.361345291137695
38,30,19.139259338378906
39,27,19.552505493164062
40,31,21.854042053222656
41,29,20.473546981811523
42,56,26.637069702148438
43,25,30.85508918762207
44,39,36.85289764404297
45,23,21.524341583251953
46,20,19.21478843688965
47,19,24.203998565673828
48,21,18.84467315673828
49,30,24.085590362548828
50,20,20.022865295410156
51,19,22.492412567138672
52,58,39.8597297668457
53,51,34.07820510864258
54,18,22.599754333496094
55,19,17.430709838867188
56,53,38.21161651611328
57,21,20.301029205322266
58,19,21.36821746826172
59,20,28.750221252441406
60,20,17.051008224487305
61,19,19.66530990600586
62,21,19.093460083007812
63,22,19.641517639160156
64,22,25.547561645507812
65,18,20.170486450195312
66,20,18.60497283935547
67,20,18.059846878051758
68,40,20.818937301635742
69,19,18.46133041381836
70,19,23.466487884521484
71,31,19.840303421020508
72,19,17.348806381225586
73,21,19.94015884399414
74,22,22.74608612060547
75,33,19.853557586669922
76,20,22.535429000854492
77,24,19.58426284790039
78,25,18.440513610839844
79,25,21.26885414123535
80,19,19.152599334716797
81,19,21.129467010498047
82,21,26.57546615600586
83,21,21.719219207763672
84,22,20.156646728515625
85,20,19.540313720703125
86,22,20.994022369384766
87,20,20.078521728515625
88,19,25.356998443603516
89,20,17.819744110107422
90,24,25.411226272583008
91,24,18.98609161376953
92,45,29.702333450317383
93,21,21.983409881591797
94,22,19.013999938964844
95,21,19.310619354248047
96,21,18.456974029541016
97,24,21.117267608642578
98,32,20.453811645507812
99,33,30.602462768554688
100,25,19.584728240966797
101,37,25.382173538208008
102,41,49.5426025390625
103,20,26.3299617767334
104,37,23.37873077392578
105,43,32.925018310546875
106,24,32.856021881103516
107,25,25.923171997070312
108,39,27.29094696044922
109,23,28.451637268066406
110,26,18.686599731445312
111,24,25.42312240600586
112,23,38.893070220947266
113,23,19.64258575439453
114,27,21.15475082397461
115,28,20.53696060180664
116,23,30.090187072753906
117,23,21.30968475341797
118,22,24.905216217041016
119,25,18.69637680053711
120,24,20.730937957763672
121,21,19.684967041015625
122,50,53.35131072998047
123,24,21.049482345581055
124,47,34.68030548095703
125,26,36.05677032470703
126,30,20.118976593017578
127,28,31.206573486328125
128,39,27.039260864257812
129,35,21.109607696533203
130,29,24.962810516357422
131,32,25.670604705810547
132,25,22.408281326293945
133,37,21.965633392333984
134,29,31.64299774169922
135,24,24.92498779296875
136,32,31.788888931274414
137,29,26.492977142333984
138,28,27.727615356445312
139,26,19.464698791503906
140,30,20.895519256591797
141,31,20.952768325805664
142,57,56.708099365234375
143,55,37.45215606689453
144,22,19.816997528076172
145,27,18.805301666259766
146,22,21.661792755126953
147,31,19.627885818481445
148,66,58.229034423828125
149,49,26.220491409301758
150,37,28.518218994140625
151,64,39.49678421020508
152,31,24.713563919067383
153,32,28.65143585205078
154,37,26.217708587646484
155,36,31.809154510498047
156,32,22.767776489257812
157,33,21.997358322143555
158,28,20.764331817626953
159,46,27.31554412841797
160,39,25.842830657958984
161,33,41.36017990112305
162,27,19.72534942626953
163,24,18.021347045898438
164,63,51.85823440551758
165,24,20.486059188842773
166,21,19.45284652709961
167,20,20.449142456054688
168,28,20.711017608642578
169,49,48.394569396972656
170,18,32.07121276855469
171,19,20.33479881286621
172,34,23.128997802734375
173,25,45.930458068847656
174,30,18.582538604736328
175,23,20.453025817871094
176,28,21.396652221679688
177,26,23.744287490844727
178,20,19.750999450683594
179,20,19.192968368530273
180,21,22.392719268798828
181,23,18.755327224731445
182,34,19.004802703857422
183,34,52.337013244628906
184,35,21.294601440429688
185,35,31.370956420898438
186,57,33.029884338378906
187,46,23.254592895507812
188,30,24.541284561157227
189,29,18.818286895751953
190,31,45.8304443359375
191,38,22.281208038330078
192,22,18.62159538269043
193,30,23.432809829711914
194,32,21.901885986328125
195,32,21.898441314697266
196,35,21.195240020751953
197,36,22.73297882080078
198,25,20.105792999267578
199,24,29.25726318359375
200,18,15.897876739501953
201,19,17.895462036132812
202,19,16.59096908569336
203,20,21.837820053100586
204,20,16.684797286987305
205,23,16.599655151367188
206,22,18.59607696533203
207,21,19.745136260986328
208,23,17.536907196044922
209,26,19.882930755615234
210,19,16.051921844482422
211,21,17.49016571044922
212,23,16.667409896850586
213,32,20.37824249267578
214,33,25.62637710571289
215,33,24.870540618896484
216,28,24.56732177734375
217,39,17.962297439575195
218,32,20.802949905395508
219,32,19.645191192626953
220,32,17.77001953125
221,26,17.533184051513672
222,28,17.99246597290039
223,32,18.845481872558594
224,22,16.770538330078125
225,26,17.457324981689453
226,28,17.26783561706543
227,25,18.495019912719727
228,24,28.835697174072266
229,24,20.141498565673828
230,29,18.547210693359375
231,29,17.11969757080078
232,27,17.88614845275879
233,24,17.882038116455078
234,27,17.355976104736328
235,26,18.864852905273438
236,24,20.087135314941406
237,27,17.53692054748535
238,23,16.060922622680664
239,24,17.763134002685547
240,23,15.970577239990234
241,20,23.008853912353516
242,23,15.74530029296875
243,24,16.3392333984375
244,31,23.547077178955078
245,22,28.54478645324707
246,24,18.645904541015625
247,24,17.865150451660156
248,26,19.34951400756836
249,25,23.489356994628906
250,51,18.798370361328125
251,64,40.377601623535156
252,54,36.097110748291016
253,21,17.282955169677734
254,25,16.267440795898438
255,24,25.275161743164062
256,56,22.23174285888672
257,21,16.724929809570312
258,25,24.55828857421875
259,32,24.096988677978516
260,31,25.51592445373535
261,31,19.559696197509766
262,23,20.935243606567383
263,31,52.19888687133789
264,30,19.730064392089844
265,46,28.519535064697266
266,19,17.425926208496094
267,19,16.917495727539062
268,21,15.368624687194824
269,21,16.28058624267578
270,20,17.224763870239258
271,51,26.304527282714844
272,21,16.70191192626953
273,19,18.005197525024414
274,19,17.222841262817383
275,22,17.425395965576172
276,21,15.294063568115234
277,22,18.15280532836914
278,19,16.104219436645508
279,21,17.39188003540039
280,22,19.457256317138672
281,20,23.939205169677734
282,22,21.401161193847656
283,19,18.13525390625
284,26,19.650741577148438
285,19,17.583826065063477
286,21,16.98709487915039
287,19,16.089387893676758
288,23,19.570388793945312
289,20,30.95683479309082
290,19,18.222023010253906
291,20,16.470802307128906
292,22,16.009475708007812
293,19,24.962417602539062
294,22,18.197036743164062
295,21,17.08080291748047
296,21,24.996360778808594
297,20,17.970109939575195
298,21,16.159025192260742
299,28,17.129085540771484
300,23,17.096954345703125
301,19,16.513521194458008
302,20,17.701950073242188
303,18,18.060749053955078
304,22,19.906585693359375
305,19,16.118452072143555
306,28,16.06702995300293
307,21,18.834308624267578
308,24,19.856204986572266
309,49,24.05986785888672
310,46,26.49867057800293
311,23,15.420367240905762
312,21,18.720460891723633
313,31,18.131927490234375
314,20,17.908878326416016
315,19,17.07271385192871
316,19,16.720914840698242
317,46,22.625093460083008
318,44,25.119503021240234
319,63,58.562461853027344
320,58,42.024078369140625
321,57,27.354248046875
322,56,42.079322814941406
323,52,33.09035873413086
324,55,44.30546188354492
325,34,19.77421760559082
326,30,18.723773956298828
327,43,28.334129333496094
328,24,21.987884521484375
329,35,24.07560920715332
330,24,18.615522384643555
331,21,19.10515785217285
332,34,37.589290618896484
333,24,19.032318115234375
334,27,21.696643829345703
335,24,31.40337371826172
336,27,26.57863998413086
